celda_id,lat_min,lat_max,lon_min,lon_max,lat_centro,lon_centro,area_km2
623,6.208500000000003,6.213000000000003,-75.66050000000007,-75.65600000000008,6.210750000000003,-75.65825000000007,0.2495
624,6.208500000000003,6.213000000000003,-75.65600000000008,-75.65150000000008,6.210750000000003,-75.65375000000007,0.2495
625,6.208500000000003,6.213000000000003,-75.65150000000008,-75.64700000000009,6.210750000000003,-75.64925000000008,0.2495
626,6.208500000000003,6.213000000000003,-75.64700000000009,-75.6425000000001,6.210750000000003,-75.64475000000009,0.2495
627,6.208500000000003,6.213000000000003,-75.6425000000001,-75.6380000000001,6.210750000000003,-75.6402500000001,0.2495
628,6.208500000000003,6.213000000000003,-75.6380000000001,-75.63350000000011,6.210750000000003,-75.6357500000001,0.2495
629,6.208500000000003,6.213000000000003,-75.63350000000011,-75.62900000000012,6.210750000000003,-75.63125000000011,0.2495
630,6.208500000000003,6.213000000000003,-75.62900000000012,-75.62450000000013,6.210750000000003,-75.62675000000011,0.2495
631,6.208500000000003,6.213000000000003,-75.62450000000013,-75.62000000000013,6.210750000000003,-75.62225000000012,0.2495
632,6.208500000000003,6.213000000000003,-75.62000000000013,-75.61550000000014,6.210750000000003,-75.61775000000013,0.2495
633,6.208500000000003,6.213000000000003,-75.61550000000014,-75.61100000000015,6.210750000000003,-75.61325000000014,0.2495
634,6.208500000000003,6.213000000000003,-75.61100000000015,-75.60650000000015,6.210750000000003,-75.60875000000014,0.2495
635,6.208500000000003,6.213000000000003,-75.60650000000015,-75.60200000000016,6.210750000000003,-75.60425000000015,0.2495
636,6.208500000000003,6.213000000000003,-75.60200000000016,-75.59750000000017,6.210750000000003,-75.59975000000016,0.2495
637,6.208500000000003,6.213000000000003,-75.59750000000017,-75.59300000000017,6.210750000000003,-75.59525000000016,0.2495
638,6.208500000000003,6.213000000000003,-75.59300000000017,-75.58850000000018,6.210750000000003,-75.59075000000017,0.2495
639,6.208500000000003,6.213000000000003,-75.58850000000018,-75.58400000000019,6.210750000000003,-75.58625000000018,0.2495
640,6.208500000000003,6.213000000000003,-75.58400000000019,-75.5795000000002,6.210750000000003,-75.58175000000018,0.2495
641,6.208500000000003,6.213000000000003,-75.5795000000002,-75.5750000000002,6.210750000000003,-75.57725000000019,0.2495
642,6.208500000000003,6.213000000000003,-75.5750000000002,-75.57050000000021,6.210750000000003,-75.5727500000002,0.2495
643,6.208500000000003,6.213000000000003,-75.57050000000021,-75.56600000000022,6.210750000000003,-75.5682500000002,0.2495
644,6.208500000000003,6.213000000000003,-75.56600000000022,-75.56150000000022,6.210750000000003,-75.56375000000021,0.2495
645,6.208500000000003,6.213000000000003,-75.56150000000022,-75.55700000000023,6.210750000000003,-75.55925000000022,0.2495
646,6.208500000000003,6.213000000000003,-75.55700000000023,-75.55250000000024,6.210750000000003,-75.55475000000023,0.2495
647,6.208500000000003,6.213000000000003,-75.55250000000024,-75.54800000000024,6.210750000000003,-75.55025000000023,0.2495
648,6.208500000000003,6.213000000000003,-75.54800000000024,-75.54350000000025,6.210750000000003,-75.54575000000024,0.2495
649,6.208500000000003,6.213000000000003,-75.54350000000025,-75.53900000000026,6.210750000000003,-75.54125000000025,0.2495
650,6.208500000000003,6.213000000000003,-75.53900000000026,-75.53450000000026,6.210750000000003,-75.53675000000025,0.2495
651,6.208500000000003,6.213000000000003,-75.53450000000026,-75.53000000000027,6.210750000000003,-75.53225000000026,0.2495
652,6.208500000000003,6.213000000000003,-75.53000000000027,-75.52550000000028,6.210750000000003,-75.52775000000027,0.2495
653,6.208500000000003,6.213000000000003,-75.52550000000028,-75.52100000000029,6.210750000000003,-75.52325000000027,0.2495
654,6.208500000000003,6.213000000000003,-75.52100000000029,-75.51650000000029,6.210750000000003,-75.51875000000028,0.2495
655,6.208500000000003,6.213000000000003,-75.51650000000029,-75.5120000000003,6.210750000000003,-75.51425000000029,0.2495
656,6.208500000000003,6.213000000000003,-75.5120000000003,-75.5075000000003,6.210750000000003,-75.5097500000003,0.2495
657,6.208500000000003,6.213000000000003,-75.5075000000003,-75.50300000000031,6.210750000000003,-75.5052500000003,0.2495
658,6.208500000000003,6.213000000000003,-75.50300000000031,-75.49850000000032,6.210750000000003,-75.50075000000031,0.2495
659,6.213000000000003,6.217500000000003,-75.71,-75.7055,6.215250000000003,-75.70774999999999,0.2495
660,6.213000000000003,6.217500000000003,-75.7055,-75.70100000000001,6.215250000000003,-75.70325,0.2495
661,6.213000000000003,6.217500000000003,-75.70100000000001,-75.69650000000001,6.215250000000003,-75.69875,0.2495
662,6.213000000000003,6.217500000000003,-75.69650000000001,-75.69200000000002,6.215250000000003,-75.69425000000001,0.2495
663,6.213000000000003,6.217500000000003,-75.69200000000002,-75.68750000000003,6.215250000000003,-75.68975000000002,0.2495
664,6.213000000000003,6.217500000000003,-75.68750000000003,-75.68300000000004,6.215250000000003,-75.68525000000002,0.2495
665,6.213000000000003,6.217500000000003,-75.68300000000004,-75.67850000000004,6.215250000000003,-75.68075000000003,0.2495
